var,ks,FDR,rank_ks,rank_FDR,average_rank
ssn-name-dob_lag1_lag30_avg,0.1589904789453278,0.08947589098532495,208.0,213.0,210.5
ssn-name_lag1_lag30_avg,0.15774051903968586,0.089895178197065,205.0,215.5,210.25
ssn-lastname_lag1_lag30_avg,0.15876895074154457,0.08976939203354298,206.0,214.0,210.0
dob_lag30_count,0.18013371977616277,0.08159329140461216,227.0,189.0,208.0
addr-homephone_lag1_count,0.1576269054131818,0.08872117400419287,203.0,212.0,207.5
dob_lag14_count,0.1738899815437167,0.08230607966457024,223.0,191.0,207.0
addr-homephone_lag1_lag14_avg,0.15072983132447737,0.08607966457023061,201.0,209.0,205.0
ssn-dob_lag1_lag14_avg,0.1500965079226996,0.08649895178197065,200.0,210.0,205.0
name-dob_lag1_lag14_avg,0.1507330215386258,0.08570230607966457,202.0,207.0,204.5
dob_lag7_count,0.16156173776758387,0.08268343815513626,214.0,192.0,203.0
ssn_lag1_lag14_avg,0.1496559092356673,0.08566037735849057,199.0,206.0,202.5
ssn-lastname_lag1_lag14_avg,0.14868691685710556,0.0860377358490566,192.0,208.0,200.0
ssn-firstname_lag1_lag14_avg,0.1490249564374647,0.08524109014675052,197.0,203.0,200.0
name-dob_lag1_count,0.14875108738688148,0.08457023060796645,195.0,202.0,198.5
ssn-name-dob_lag1_lag14_avg,0.1488352410358355,0.08452830188679246,196.0,200.5,198.25
dob_lag3_count,0.15771749016050052,0.0819706498951782,204.0,190.0,197.0
ssn_lag1_count,0.14870441114254984,0.08448637316561845,194.0,198.0,196.0
name_lag1_count,0.148063618572725,0.08540880503144654,186.0,205.0,195.5
ssn-firstname_lag1_count,0.14870030864494055,0.08448637316561845,193.0,198.0,195.5
ssn-name_lag1_lag14_avg,0.14829116984748353,0.08532494758909853,187.0,204.0,195.5
ssn-dob_lag1_count,0.14857823867301245,0.08452830188679246,189.0,200.5,194.75
ssn-name_lag1_count,0.1486196276735402,0.08444444444444445,191.0,195.5,193.25
ssn-name-dob_lag1_count,0.14850138662530177,0.08448637316561845,188.0,198.0,193.0
ssn-lastname_lag1_count,0.14861324613405769,0.08444444444444445,190.0,195.5,192.75
homephone_#days_since,0.17918892613309267,0.05278825995807128,224.5,153.0,188.75
dob_#days_since,0.16059861044939075,0.05727463312368973,212.0,163.0,187.5
homephone_lag0_count,0.14914323971075993,0.0720335429769392,198.0,177.0,187.5
addr_lag1_lag3_avg,0.13865457186367175,0.08004192872117401,182.0,188.0,185.0
address_lag1_lag3_avg,0.13852812693140049,0.08,181.0,187.0,184.0
addr-homephone_lag1_lag7_avg,0.12801188923364018,0.0749266247379455,180.0,186.0,183.0
name-dob_lag1_lag7_avg,0.12539253807199455,0.0741299790356394,179.0,185.0,182.0
dob_lag1_count,0.14262232353894921,0.07262054507337526,184.0,178.0,181.0
ssn_lag1_lag7_avg,0.1242695691352775,0.07371069182389937,177.0,184.0,180.5
ssn-dob_lag1_lag7_avg,0.12436948517564156,0.07366876310272537,178.0,183.0,180.5
name_lag1_lag30_avg,0.14278943942354816,0.06515723270440252,185.0,174.0,179.5
ssn-lastname_lag1_lag7_avg,0.12388986698047084,0.07358490566037736,176.0,180.5,178.25
ssn-firstname_lag1_lag7_avg,0.12387838020940219,0.07358490566037736,175.0,180.5,177.75
